Version;Date_of_report;Date_of_statistics_week_start;Variant_code;Variant_name;ECDC_category;WHO_category;May_include_samples_listed_before;Sample_size;Variant_cases
3;2022-03-23 17:41:04;2021-05-03;B.1.351;Beta;VOC;;False;1687;12
3;2022-03-23 17:41:04;2021-05-03;P.1;Gamma;VOC;;False;1687;35
3;2022-03-23 17:41:04;2021-05-03;B.1.617.2;Delta;VOC;VOC;False;1687;1
3;2022-03-23 17:41:04;2021-05-03;B.1.1.529;Omicron;VOC;VOC;False;1687;0
3;2022-03-23 17:41:04;2021-05-03;B.1.640;;VUM;VUM;False;1687;0
3;2022-03-23 17:41:04;2021-05-03;XF;;VUM;;False;1687;0
3;2022-03-23 17:41:04;2021-05-03;XD;;VUM;VUM;False;1687;0
3;2022-03-23 17:41:04;2021-05-03;B.1.1.7;Alpha;DEV;;False;1687;1633
3;2022-03-23 17:41:04;2021-05-03;B.1.621;Mu;DEV;;False;1687;3
3;2022-03-23 17:41:04;2021-05-03;C.37;Lambda;DEV;;False;1687;0
3;2022-03-23 17:41:04;2021-05-03;BA.1;;VOC;VOC;True;1687;0
3;2022-03-23 17:41:04;2021-05-03;BA.2;;VOC;VOC;True;1687;0
3;2022-03-23 17:41:04;2021-05-03;BA.3;;VOC;VOC;True;1687;0
3;2022-03-23 17:41:04;2021-05-10;B.1.351;Beta;VOC;;False;1650;8
3;2022-03-23 17:41:04;2021-05-10;P.1;Gamma;VOC;;False;1650;31
3;2022-03-23 17:41:04;2021-05-10;B.1.617.2;Delta;VOC;VOC;False;1650;11
3;2022-03-23 17:41:04;2021-05-10;B.1.1.529;Omicron;VOC;VOC;False;1650;0
3;2022-03-23 17:41:04;2021-05-10;B.1.640;;VUM;VUM;False;1650;0
3;2022-03-23 17:41:04;2021-05-10;XF;;VUM;;False;1650;0
3;2022-03-23 17:41:04;2021-05-10;XD;;VUM;VUM;False;1650;0
3;2022-03-23 17:41:04;2021-05-10;B.1.1.7;Alpha;DEV;;False;1650;1589
3;2022-03-23 17:41:04;2021-05-10;B.1.621;Mu;DEV;;False;1650;3
3;2022-03-23 17:41:04;2021-05-10;C.37;Lambda;DEV;;False;1650;0
3;2022-03-23 17:41:04;2021-05-10;BA.1;;VOC;VOC;True;1650;0
3;2022-03-23 17:41:04;2021-05-10;BA.2;;VOC;VOC;True;1650;0
